2020-01-16, 45:NaN,
2020-01-17, 62:NaN,
2020-01-18, 121:NaN,
2020-01-19, 198:NaN,
2020-01-20, 291:NaN,
2020-01-21, 440:NaN,
2020-01-22, 571:NaN,
2020-01-23, 830:NaN,
2020-01-24, 1287:NaN,
2020-01-25, 1975:NaN,
2020-01-26, 2744:NaN,
2020-01-27, 4515:NaN,
2020-01-28, 5974:NaN,
2020-01-29, 7711:NaN,
2020-01-30, 9703:NaN,
2020-01-31, 11791:NaN,
2020-02-01, 14380:NaN,
2020-02-02, 17205:NaN,
2020-02-03, 20438:NaN,
2020-02-04, 24324:NaN,
2020-02-05, 28018:NaN,
2020-02-06, 31161:NaN,
2020-02-07, 34546:NaN,
2020-02-08, 37198:NaN,
2020-02-09, 40171:NaN,
2020-02-10, 42638:NaN,
2020-02-11, 44653:NaN,
2020-02-12, 58761:NaN,
2020-02-13, 63851:NaN,
2020-02-14, 66492:NaN,
2020-02-15, 68500:NaN,
2020-02-16, 70548:NaN,
2020-02-17, 72436:NaN,
2020-02-18, 73906:NaN,
2020-02-19, 74576:NaN,
2020-02-20, 75465:104,
2020-02-21, 76288:346,
2020-02-22, 76936:550,
2020-02-23, 77150:763,
2020-02-24, 77658:833,
2020-02-25, 78064:977,
2020-02-26, 78497:1261,
2020-02-27, 78824:1766,
2020-02-28, 79251:2337,
2020-02-29, 79824:3150,
2020-03-01, 80026:3736,
2020-03-02, 80151:4212,
2020-03-03, 80270:4812,
2020-03-04, 80409:5328,
2020-03-05, NaN:5766,
2020-03-06, NaN:6284,
2020-03-07, NaN:6767,
2020-03-08, NaN:7134,
2020-03-09, NaN:7382,
2020-03-10, NaN:7513,
2020-03-11, NaN:7755,
2020-03-12, NaN:7869,
2020-03-13, NaN:7979,
2020-03-14, NaN:8086,
2020-03-15, NaN:8162,
2020-03-16, NaN:8236,
2020-03-17, NaN:8320,
2020-03-18, NaN:8413,
2020-03-19, NaN:8565,
2020-03-20, NaN:8652,
2020-03-21, NaN:8799,
